id_usuario,variante,convirtio,dispositivo,pais,duracion_sesion,timestamp
exp_user_0,tratamiento,0,mobile,Argentina,114.41,2025-03-28
exp_user_1,tratamiento,0,desktop,Mexico,170.03,2025-01-15
exp_user_2,control,1,mobile,Colombia,140.21,2025-03-18
exp_user_3,tratamiento,0,mobile,Colombia,151.45,2025-06-03
exp_user_4,tratamiento,0,desktop,Mexico,299.96,2025-01-12
exp_user_5,control,0,mobile,Mexico,206.7,2025-01-26
exp_user_6,control,0,desktop,Mexico,280.11,2025-04-15
exp_user_7,tratamiento,0,mobile,Argentina,28.47,2025-03-18
exp_user_8,tratamiento,0,desktop,Mexico,287.04,2025-02-05
exp_user_9,control,0,mobile,Argentina,258.91,2025-02-11
exp_user_10,control,0,mobile,Colombia,80.34,2025-05-26
exp_user_11,tratamiento,0,mobile,Colombia,30.64,2025-05-21
exp_user_12,control,0,desktop,Colombia,87.81,2025-03-30
exp_user_13,tratamiento,1,mobile,Mexico,75.19,2025-06-03
exp_user_14,control,0,mobile,Mexico,268.83,2025-04-19
exp_user_15,tratamiento,1,desktop,Mexico,108.15,2025-05-28
exp_user_16,control,1,mobile,Argentina,109.61,2025-02-06
exp_user_17,tratamiento,1,desktop,Argentina,102.83,2025-01-08
exp_user_18,control,0,mobile,Mexico,192.09,2025-05-07
exp_user_19,tratamiento,0,mobile,Argentina,226.21,2025-04-17
exp_user_20,tratamiento,0,mobile,Mexico,86.53,2025-05-10
exp_user_21,tratamiento,0,desktop,Argentina,175.76,2025-03-27
exp_user_22,control,1,desktop,Colombia,192.57,2025-06-24
exp_user_23,tratamiento,0,desktop,Argentina,124.11,2025-01-04
exp_user_24,tratamiento,0,desktop,Colombia,262.35,2025-02-11
exp_user_25,control,0,mobile,Argentina,193.33,2025-03-22
exp_user_26,control,0,desktop,Mexico,162.16,2025-02-19
exp_user_27,tratamiento,1,desktop,Colombia,241.84,2025-01-11
exp_user_28,control,0,mobile,Mexico,88.89,2025-05-20
exp_user_29,control,0,mobile,Argentina,122.61,2025-06-24
exp_user_30,control,0,desktop,Colombia,130.95,2025-05-25
exp_user_31,control,0,desktop,Colombia,32.61,2025-04-23
exp_user_32,tratamiento,1,desktop,Mexico,39.81,2025-01-28
exp_user_33,tratamiento,0,desktop,Mexico,180.05,2025-01-26
exp_user_34,tratamiento,0,desktop,Argentina,20.96,2025-03-12
exp_user_35,control,0,desktop,Mexico,51.75,2025-04-23
exp_user_36,control,0,desktop,Colombia,274.06,2025-01-13
exp_user_37,control,0,mobile,Argentina,106.43,2025-01-01
exp_user_38,tratamiento,0,desktop,Mexico,224.24,2025-03-21
exp_user_39,control,1,desktop,Mexico,51.27,2025-05-11
exp_user_40,tratamiento,1,desktop,Mexico,99.94,2025-06-12
exp_user_41,control,0,desktop,Argentina,279.97,2025-02-24
exp_user_42,tratamiento,1,mobile,Mexico,71.75,2025-04-11
exp_user_43,control,0,desktop,Mexico,148.48,2025-01-09
exp_user_44,control,0,desktop,Argentina,113.66,2025-06-08
exp_user_45,control,0,mobile,Argentina,86.19,2025-06-06
exp_user_46,control,0,mobile,Mexico,113.64,2025-01-15
exp_user_47,control,0,desktop,Colombia,47.93,2025-04-04
exp_user_48,tratamiento,0,mobile,Colombia,229,2025-03-02
exp_user_49,tratamiento,1,mobile,Mexico,252.74,2025-06-06
exp_user_50,tratamiento,1,desktop,Mexico,194.19,2025-05-31
exp_user_51,control,0,mobile,Argentina,25.39,2025-01-23
exp_user_52,control,0,desktop,Colombia,236.3,2025-06-02
exp_user_53,tratamiento,1,desktop,Colombia,203.95,2025-02-02
exp_user_54,tratamiento,0,desktop,Colombia,209,2025-03-22
exp_user_55,tratamiento,1,mobile,Argentina,185.61,2025-03-23
exp_user_56,tratamiento,0,desktop,Colombia,296.44,2025-01-20
exp_user_57,tratamiento,0,desktop,Colombia,153.25,2025-04-21
exp_user_58,control,1,desktop,Argentina,283.4,2025-06-23
exp_user_59,control,0,mobile,Argentina,55.11,2025-04-22
exp_user_60,control,0,mobile,Mexico,275.13,2025-05-27
exp_user_61,tratamiento,1,mobile,Colombia,164.53,2025-03-28
exp_user_62,tratamiento,1,mobile,Mexico,29.66,2025-04-18
exp_user_63,tratamiento,0,desktop,Argentina,98.48,2025-04-08
exp_user_64,tratamiento,0,mobile,Colombia,272.97,2025-04-01
exp_user_65,tratamiento,0,mobile,Argentina,167.39,2025-02-17
exp_user_66,tratamiento,1,mobile,Argentina,267.71,2025-04-11
exp_user_67,control,0,mobile,Mexico,55.24,2025-04-23
exp_user_68,control,1,mobile,Mexico,222.55,2025-02-14
exp_user_69,tratamiento,0,desktop,Argentina,127.31,2025-06-12
exp_user_70,tratamiento,0,mobile,Mexico,26.1,2025-05-26
exp_user_71,control,0,mobile,Argentina,247.74,2025-02-21
exp_user_72,tratamiento,0,desktop,Colombia,36.2,2025-05-08
exp_user_73,control,0,mobile,Colombia,167.76,2025-01-03
exp_user_74,control,0,mobile,Mexico,200.83,2025-06-22
exp_user_75,control,0,desktop,Colombia,151.28,2025-05-01
exp_user_76,tratamiento,0,mobile,Colombia,254.86,2025-05-08
exp_user_77,tratamiento,0,desktop,Colombia,272.07,2025-01-21
exp_user_78,control,1,desktop,Argentina,81.56,2025-06-18
exp_user_79,tratamiento,1,mobile,Argentina,58.29,2025-06-23
exp_user_80,tratamiento,0,desktop,Colombia,252.44,2025-01-14
exp_user_81,tratamiento,0,mobile,Colombia,220.58,2025-02-10
exp_user_82,control,1,mobile,Argentina,20.99,2025-02-04
exp_user_83,tratamiento,0,desktop,Colombia,178.9,2025-03-28
exp_user_84,control,1,desktop,Colombia,136.85,2025-01-13
exp_user_85,control,0,desktop,Mexico,20.47,2025-01-04
exp_user_86,tratamiento,0,mobile,Colombia,87.45,2025-06-07
exp_user_87,control,0,desktop,Mexico,99.4,2025-05-17
exp_user_88,control,0,desktop,Colombia,156.43,2025-02-24
exp_user_89,tratamiento,0,desktop,Mexico,86.34,2025-06-15
exp_user_90,control,0,desktop,Argentina,32.84,2025-02-09
exp_user_91,tratamiento,1,desktop,Argentina,258.44,2025-03-25
exp_user_92,tratamiento,0,desktop,Mexico,28.38,2025-02-25
exp_user_93,tratamiento,0,mobile,Argentina,212.59,2025-04-01
exp_user_94,tratamiento,0,desktop,Mexico,281.83,2025-04-07
exp_user_95,tratamiento,1,desktop,Argentina,22.66,2025-06-04
exp_user_96,tratamiento,0,desktop,Argentina,173.2,2025-02-02
exp_user_97,tratamiento,0,mobile,Mexico,218.75,2025-04-06
exp_user_98,tratamiento,0,desktop,Argentina,100.92,2025-01-27
exp_user_99,tratamiento,0,mobile,Argentina,133.12,2025-05-02
exp_user_100,control,0,mobile,Colombia,259.35,2025-04-26
exp_user_101,control,0,mobile,Argentina,118.3,2025-05-25
exp_user_102,tratamiento,0,mobile,Argentina,235.16,2025-05-17
exp_user_103,tratamiento,0,mobile,Mexico,194.18,2025-04-18
exp_user_104,control,0,desktop,Colombia,294.58,2025-01-20
exp_user_105,control,0,desktop,Argentina,177.04,2025-06-23
exp_user_106,control,0,desktop,Colombia,203.27,2025-06-09
exp_user_107,tratamiento,0,desktop,Argentina,72.05,2025-02-27
exp_user_108,control,0,desktop,Colombia,156.15,2025-03-13
exp_user_109,tratamiento,0,mobile,Argentina,167.14,2025-05-16
exp_user_110,control,0,mobile,Argentina,293.07,2025-06-21
exp_user_111,control,0,mobile,Argentina,276.75,2025-03-09
exp_user_112,tratamiento,0,desktop,Argentina,286.22,2025-03-29
exp_user_113,tratamiento,0,desktop,Mexico,238.6,2025-03-16
exp_user_114,control,0,desktop,Mexico,138.08,2025-01-21
exp_user_115,control,1,desktop,Mexico,278.23,2025-06-21
exp_user_116,control,0,desktop,Argentina,278.63,2025-04-15
exp_user_117,tratamiento,0,desktop,Colombia,298.05,2025-03-21
exp_user_118,control,0,mobile,Argentina,196.05,2025-06-30
exp_user_119,control,0,desktop,Colombia,283.71,2025-05-28
exp_user_120,tratamiento,1,desktop,Mexico,266.62,2025-06-14
exp_user_121,tratamiento,0,mobile,Colombia,105.65,2025-04-30
exp_user_122,tratamiento,0,mobile,Mexico,278.8,2025-05-25
exp_user_123,control,1,desktop,Mexico,292.76,2025-05-11
exp_user_124,tratamiento,0,mobile,Argentina,186.29,2025-05-12
exp_user_125,control,0,desktop,Mexico,201.47,2025-02-25
exp_user_126,control,0,mobile,Argentina,41.04,2025-06-06
exp_user_127,control,0,mobile,Colombia,60.48,2025-05-08
exp_user_128,tratamiento,1,mobile,Argentina,274.3,2025-01-22
exp_user_129,tratamiento,0,desktop,Argentina,127.4,2025-03-19
exp_user_130,control,0,desktop,Argentina,33.82,2025-04-13
exp_user_131,tratamiento,1,mobile,Argentina,28.87,2025-01-24
exp_user_132,tratamiento,0,mobile,Argentina,117.1,2025-01-24
exp_user_133,control,0,desktop,Mexico,56.81,2025-03-24
exp_user_134,tratamiento,0,mobile,Argentina,170.3,2025-03-29
exp_user_135,tratamiento,0,mobile,Colombia,120.5,2025-06-09
exp_user_136,control,0,desktop,Mexico,129.49,2025-04-23
exp_user_137,control,0,desktop,Colombia,284.97,2025-01-17
exp_user_138,control,0,mobile,Mexico,74.99,2025-05-13
exp_user_139,tratamiento,0,mobile,Colombia,69.53,2025-04-01
exp_user_140,tratamiento,1,desktop,Argentina,239.05,2025-06-14
exp_user_141,tratamiento,0,mobile,Colombia,22.98,2025-01-29
exp_user_142,control,1,desktop,Argentina,88.96,2025-01-02
exp_user_143,control,0,desktop,Colombia,236.71,2025-01-04
exp_user_144,control,0,desktop,Argentina,199.62,2025-02-23
exp_user_145,tratamiento,0,mobile,Colombia,268.7,2025-03-20
exp_user_146,control,0,mobile,Argentina,142.87,2025-01-18
exp_user_147,control,0,desktop,Mexico,29.04,2025-02-21
exp_user_148,tratamiento,1,mobile,Argentina,244.88,2025-01-08
exp_user_149,control,0,mobile,Colombia,130.79,2025-03-28
exp_user_150,control,0,mobile,Mexico,28.67,2025-06-28
exp_user_151,control,0,mobile,Mexico,51.56,2025-04-08
exp_user_152,control,0,desktop,Argentina,235.16,2025-05-24
exp_user_153,control,0,mobile,Argentina,209.07,2025-04-03
